k,calinski_harabasz,davies_bouldin
2,112.65158380719373,3.3489104250810517
3,87.98361712263494,3.0688759353127497
4,77.95887915305104,3.3870212636438706
5,71.67885642588755,3.3559347246849924
6,66.05515807205862,2.991110538057319
7,62.11396890163779,2.898521944901496
8,59.25419713951171,2.9513218087078883
9,54.614606199901594,3.0689689888498957
10,53.97712262744702,2.8460090930827624
11,52.40931204713875,2.8307528387090173
12,49.63060215064499,2.7251313568457314
13,47.9248901258438,2.9130929862977606
14,48.5054747505493,2.5218808308832767
15,46.56041659404535,2.55300350151104
