palavra,frequencia_total,frequencia_documentos
ano,3461,910
dizer,3391,824
fazer,3211,902
poder,2707,861
ir,2569,659
jogo,2306,409
ter,2047,738
grande,2009,728
outro,1979,772
dois,1885,709
r,1864,449
bom,1854,620
todo,1812,633
brasileiro,1749,476
futebol,1693,311
clube,1630,280
jogador,1562,282
primeiro,1528,640
brasil,1482,430
–,1477,575
time,1473,345
sobre,1402,629
ficar,1370,595
segundo,1350,658
dar,1349,575
dia,1344,623
ainda,1304,635
ver,1225,552
paulo,1186,467
vez,1176,574
algum,1146,529
novo,1124,593
país,1103,449
olímpico,1081,192
atleta,1079,255
pessoa,1076,433
equipe,1071,395
rio,1070,290
esporte,1052,240
querer,1051,384
mundo,1028,488
em este,990,638
saber,969,384
porque,969,393
chegar,958,457
presidente,957,282
afirmar,942,475
jogar,937,271
bem,932,449
copa,931,256
técnico,920,334
ser,917,505
três,906,504
milhão,896,297
seleção,894,237
falar,855,311
pouco,846,470
casa,837,421
final,832,374
passar,831,455
tempo,830,377
muito,824,378
último,801,474
contra,801,350
começar,799,444
hoje,793,347
agora,791,429
dever,790,458
fifa,786,105
onde,786,501
antes,776,426
coisa,757,300
acontecer,756,385
achar,743,273
vir,731,401
conseguir,726,387
receber,724,392
mundial,720,279
haver,716,377
após,713,373
desde,703,439
parte,700,439
caso,674,353
tudo,669,325
apenas,667,410
deixar,666,373
gente,664,218
sempre,663,301
ganhar,644,322
momento,634,325
usar,624,380
mês,615,359
the,602,82
assim,602,360
principal,602,358
então,599,326
levar,590,407
folha,588,324
passado,586,363
quatro,582,347
comitê,569,159
internacional,565,292
precisar,555,270
além,553,390
cidade,551,262
trabalho,551,289
título,547,220
mil,544,280
gol,543,139
cada,541,339
nome,540,299
ajudar,534,320
trabalhar,531,287
problema,527,287
perder,519,297
contar,517,360
durante,514,353
evento,513,258
forma,511,330
grupo,509,291
treinador,507,180
ponto,507,249
restaurante,504,233
de esse,503,351
1,500,191
voltar,497,300
empresa,492,189
quanto,489,296
de este,487,350
aqui,487,238
sair,486,287
campeão,485,192
resultado,483,266
santo,480,160
abrir,479,315
pequeno,472,335
público,471,238
lugar,471,300
lá,470,247
dirigente,466,169
meio,463,324
chamar,461,318
encontrar,460,302
corinthian,459,108
importante,457,286
menos,457,332
cbf,450,101
esperar,447,277
continuar,446,268
partir,445,327
realizar,445,292
próximo,444,324
disputar,443,229
estádio,441,140
tentar,441,281
campo,440,214
competição,439,208
partida,438,181
direito,438,213
pedir,436,264
entrar,436,286
colocar,435,263
pensar,433,224
lado,429,273
olimpíar,428,147
campeonato,428,201
semana,424,308
medalha,424,129
chef,423,196
nacional,421,259
20,418,283
exemplo,415,307
2014,413,241
estados,410,197
unidos,406,196
acordo,405,262
nunca,403,242
local,400,255
nada,399,224
mostrar,399,299
cinco,398,264
estudo,397,214
entidade,396,132
dinheiro,395,179
conhecer,393,283
projeto,393,211
nenhum,390,246
criar,390,280
fim,389,262
qualquer,387,248
hora,386,246
possível,384,280
acabar,384,266
federação,382,145
alto,382,277
parecer,380,236
2,379,195
mudar,378,234
quase,378,276
prato,377,205
tornar,376,235
11,372,282
cerca,371,268
árbitro,369,66
conquistar,369,201
acreditar,369,218
esportivo,369,163
torcedor,368,136
cientista,367,198
vida,367,224
dentro,365,229
2015,364,228
vitória,363,170
profissional,360,201
contrato,360,148
2016,358,203
difícil,357,228
decisão,353,187
governo,351,149
tanto,349,254
pagar,349,174
viver,348,243
sistema,348,187
paulista,348,169
us,348,116
temporada,346,155
vencer,346,175
bola,344,138
relação,342,209
marcar,341,213
existir,341,215
único,339,236
x,339,79
valor,337,180
universidade,336,229
de isso,336,250
político,336,142
americano,334,206
15,334,251
estar,332,239
10,331,215
base,331,202
gostar,329,176
manter,328,215
número,327,213
pesquisador,326,194
havelange,325,22
confederação,323,132
torneio,322,150
mesmo,318,233
m,316,88
filho,315,158
participar,314,218
seis,314,217
área,313,202
argentino,312,92
diferente,311,222
tão,309,213
algo,307,205
descobrir,307,196
em esse,305,211
sim,305,171
questão,304,203
início,304,223
organização,303,155
processo,301,189
apresentar,301,221
2013,300,189
frente,298,205
sul,296,195
espaço,293,179
